Arcade Soccer,4th Dimension,ARCADE,1,0,C,,,4th Dimension,1,,,,,,,,,
E-Type,4th Dimension,ETYPE,1,0,C,,,4th Dimension,1,,,,,,,,,
Holed Out,4th Dimension,HOLED,2,0,C,,,4th Dimension,3,,,,,,,,,
Holed Out Extra Courses 1,4th Dimension,HOLED,3,0,C,Holed Out Courses 1,,4th Dimension,3,,,,,,,,,
Holed Out Extra Courses 2,4th Dimension,HOLED,3,2,C,Holed Out Courses 2,,4th Dimension,3,,,,,,,,,
Inertia,4th Dimension,INERTIA,1,0,C,,,4th Dimension,1,,,,,,,,,
Nevryon,4th Dimension,NEVRYON,1,2,C,,,4th Dimension,2,,,,,,,,,
QMaster,4th Dimension,QM-LOAD,4,2,C,,,4th Dimension,6,,,,,,,,,
UIM,4th Dimension,UIM,2,2,C,,,4th Dimension,4,,,,,,,,,
White Magic,4th Dimension,WMMENU,4,2,C,,,4th Dimension,6,,,,,,,,,
White Magic 2,4th Dimension,MAGIC,4,0,C,,,4th Dimension,5,,,,,,,,,
180 Darts,A&F,180DART,17,0,C,,,A&F,27,,,,,,,,,
Bouncer,A&F,BOUNCER,17,0,C,,,A&F,27,,,,,,,,,
Chuckie 2009,A&F,CE2009,17,2,C,,,A&F,28,,,,,,,,,
Chuckie Egg,A&F,CHUCKIE,17,0,C,,,A&F,27,,,,,,,,,
Chukee The Upgrade,A&F,CHUKEE,17,2,C,Chukee Upgrade,,A&F,28,,,,,,,,,
Copter Caper,A&F,CCAPER,17,0,C,,,A&F,27,,,,,,,,,
Cricket,A&F,HOWSZAT,17,2,C,,,A&F,28,,,,,,,,,
Cylon Attack,A&F,CYLON,17,0,C,,,A&F,27,,,,,,,,,
Frogger,A&F,FROGGER,17,0,C,,,A&F,27,,,,,,,,,
Haunted Abbey,A&F,ABBEY,17,2,C,,,A&F,28,,,,,,,,,
Horror Castle,A&F,H-CASTL,17,2,S,,,A&F,28,,,,,,,,,
Lunar Lander,A&F,LUNAR,17,0,C,,,A&F,27,,,,,,,,,
Orpheus Underworld,A&F,ORPHEUS,17,0,C,,,A&F,27,,,,,,,,,
Painter,A&F,PAINTER,17,0,C,,,A&F,27,,,,,,,,,
Pharaohs Tomb,A&F,PHTOMB,17,0,C,,,A&F,27,,,,,,,,,
Planes,A&F,PLANESL,17,0,C,,,A&F,27,,,,,,,,,
Shrinking Professors Quest,A&F,SH_PROF,17,2,C,Shrink ProfQuest,,A&F,28,,,,,,,,,
Tower Of Alos,A&F,TOA-I,17,0,C,,,A&F,27,,,,,,,,,
Firetrack,Aardvark,FireTrk,5,0,C,,,Aardvark,7,,,,,,,,,
Frak,Aardvark,Frak!,5,0,C,,,Aardvark,7,,,,,,,,,
Zalaga,Aardvark,ZALODA,5,0,C,,,Aardvark,7,,,,,,,,,
Arcadians,Acornsoft,ARCADIA,7,0,C,,,Acornsoft,11,,,,,,,,,
Aviator,Acornsoft,AVIATOR,7,2,C,,,Acornsoft,12,,,,,,,,,
Bandit,Acornsoft,BANDIT,7,0,C,,,Acornsoft,11,,,,,,,,,
BlackBox,Acornsoft,BLACKBO,6,2,C,,,Acornsoft,10,,,,,,,,,
Bouncer,Acornsoft,BOUNCER,7,2,C,,,Acornsoft,12,,,,,,,,,
Boxer,Acornsoft,BOXER,7,2,C,,,Acornsoft,12,,,,,,,,,
Breakout,Acornsoft,BREAKOT,6,0,C,,,Acornsoft,9,,,,,,,,,
Carousel,Acornsoft,CAROUSL,7,2,C,,,Acornsoft,12,,,,,,,,,
Castle Of Riddles,Acornsoft,CORINS,8,0,S,Castle o Riddles,,Acornsoft,13,,,,,,,,,
Chess,Acornsoft,CHESS,6,0,C,,,Acornsoft,9,,,,,,,,,
Countdown To Doom,Acornsoft,CTDLOAD,8,0,S,Countdown Doom,,Acornsoft,13,,,,,,,,,
Crazy Tracer,Acornsoft,TRACER,7,2,C,,,Acornsoft,12,,,,,,,,,
Cube Master,Acornsoft,CUBE,6,0,C,,,Acornsoft,9,,,,,,,,,
Dodgems,Acornsoft,DODGEMS,6,0,C,,,Acornsoft,9,,,,,,,,,
Draughts,Acornsoft,DRAUGHT,6,0,C,,,Acornsoft,9,,,,,,,,,
Drogna,Acornsoft,DROGNA,6,0,C,,,Acornsoft,9,,,,,,,,,
Firebug,Acornsoft,FIREBUG,7,2,C,,,Acornsoft,12,,,,,,,,,
Flight Simulation,Acornsoft,FLIGHT1,6,0,C,,,Acornsoft,9,,,,,,,,,
Free Fall,Acornsoft,FREEFAL,6,2,C,,,Acornsoft,10,,,,,,,,,
Gambit,Acornsoft,GAMBIT,6,2,C,,,Acornsoft,10,,,,,,,,,
Gateway To Karos,Acornsoft,GTKINS,8,2,S,,,Acornsoft,14,,,,,,,,,
Go,Acornsoft,GoLoad,6,2,C,,,Acornsoft,10,,,,,,,,,
Hopper,Acornsoft,HOPPER,7,0,C,,,Acornsoft,11,,,,,,,,,
JCB Digger,Acornsoft,JCB,6,0,C,,,Acornsoft,9,,,,,,,,,
Kingdom Of Hamil,Acornsoft,KHINS,8,0,S,,,Acornsoft,13,,,,,,,,,
Labyrinth,Acornsoft,LAB,7,2,C,,,Acornsoft,12,,,,,,,,,
Magic Mushrooms,Acornsoft,MAGIC,7,2,C,,,Acornsoft,12,,,,,,,,,
Maze,Acornsoft,MAZE,6,0,C,,,Acornsoft,9,,,,,,,,,
Meteor Mission,Acornsoft,METEOR,7,2,C,,,Acornsoft,12,,,,,,,,,
Meteors,Acornsoft,Meteors,7,0,C,,,Acornsoft,11,,,,,,,,,
Missile Base,Acornsoft,MISSILE,6,2,C,,,Acornsoft,10,,,,,,,,,
Monsters,Acornsoft,MONST,7,0,C,,,Acornsoft,11,,,,,,,,,
Philosopher's Quest,Acornsoft,PHIQINS,8,0,S,Philoso' Quest,,Acornsoft,13,,,,,,,,,
Planetoid,Acornsoft,PLANETO,7,0,C,,,Acornsoft,11,,,,,,,,,
Quondam,Acornsoft,QUOINS,8,2,S,,,Acornsoft,14,,,,,,,,,
Reversi,Acornsoft,REVERSI,6,0,C,,,Acornsoft,9,,,,,,,,,
Revs(6TracksHack),Acornsoft,REVS,7,0,C,Revs +,,Acornsoft,11,,,,,,,,,
Rocket Raid,Acornsoft,ROCKET,7,0,C,,,Acornsoft,11,,,,,,,,,
Seventh Star,Acornsoft,SEVINS,8,2,S,,,Acornsoft,14,,,,,,,,,
Sliding Block Puzzles,Acornsoft,PUZZLE,6,2,C,Sliding Blocks,,Acornsoft,10,,,,,,,,,
Snake,Acornsoft,SNAKE,6,0,C,,,Acornsoft,9,,,,,,,,,
Snapper,Acornsoft,SNAPPER,7,0,C,,,Acornsoft,11,,,,,,,,,
Snooker,Acornsoft,SNOOKER,7,2,C,,,Acornsoft,12,,,,,,,,,
Space Invaders,Acornsoft,SPACE,6,0,C,,,Acornsoft,9,,,,,,,,,
Sphinx Adventure,Acornsoft,SAINS,8,0,S,,,Acornsoft,13,,,,,,,,,
Starship Command,Acornsoft,COMMAND,7,0,C,,,Acornsoft,11,,,,,,,,,
Super Invaders,Acornsoft,SINVADE,6,0,C,,,Acornsoft,9,,,,,,,,,
Tetrapod,Acornsoft,TETRAPO,7,2,C,,,Acornsoft,12,,,,,,,,,
Volcano,Acornsoft,VOLCANO,7,2,C,,,Acornsoft,12,,,,,,,,,
Boffin,AddictiveGames,BOFFIN,5,0,C,,,Addictive Games,7,,,,,,,,,
Boffin 2,AddictiveGames,BOFFIN2,5,0,C,,,Addictive Games,7,,,,,,,,,
Football Manager,AddictiveGames,FOOTldr,5,0,C,,,Addictive Games,7,,,,,,,,,
Adventureland,Adventure International,ADVENT,10,0,C,,,Adventure Intnl,15,,,,,,,,,
Ghost Town,Adventure International,GHOSTT,10,0,C,,,Adventure Intnl,15,,,,,,,,,
Golden Voyage,Adventure International,GOLDEN,10,0,C,,,Adventure Intnl,15,,,,,,,,,
Gremlins,Adventure International,GREMLIN,10,0,C,,,Adventure Intnl,15,,,,,,,,,
Mystery Fun House,Adventure International,FUN,10,0,C,,,Adventure Intnl,15,,,,,,,,,
Pirate Adventure,Adventure International,PIRATE,10,0,C,,,Adventure Intnl,15,,,,,,,,,
Questprobe (HumanTorch),Adventure International,QPFFOUR,10,2,C,,,Adventure Intnl,16,,,,,,,,,
Questprobe (SpiderMan),Adventure International,QPSPIDR,10,2,C,,,Adventure Intnl,16,,,,,,,,,
Questprobe(TheHulk),Adventure International,QPHULK,10,2,C,,,Adventure Intnl,15,,,,,,,,,
Robin Of Sherwood,Adventure International,ROBIN,10,0,C,,,Adventure Intnl,15,,,,,,,,,
Savage Island Part 1,Adventure International,SAVAGE,10,2,C,,,Adventure Intnl,16,,,,,,,,,
Savage Island Part 2,Adventure International,SAVAG2,10,2,C,,,Adventure Intnl,16,,,,,,,,,
Secret Mission,Adventure International,SECRET,10,2,C,,,Adventure Intnl,16,,,,,,,,,
